Bulgarian	English	Bulgarian_Example	English_Example
с изключение на	except	Всички освен мен.	Everyone except me.
пише	wrote	Написах писмо.	I wrote a letter.
семена	seed	Засея семена.	I planted seeds.
тон	tone	Тонът на гласа.	The tone of voice.
присъединят	join	Присъедини се към нас.	Join us.
Предлагам	suggest	Предлагам решение.	I suggest a solution.
чиста	clean	Почисти стаята.	Clean the room.
почивка	break	Направи почивка.	Take a break.
дама	lady	Елегантна дама.	An elegant lady.
двор	yard	Дворът е голям.	The yard is big.
покачва	rise	Слънцето изгрява.	The sun rises.
лошо	bad	Лошо време.	Bad weather.
удар	blow	Силен удар.	A strong blow.
масло	oil	Зехтинено масло.	Olive oil.
кръв	blood	Кръвта е червена.	Blood is red.
докосвайте	touch	Докосни повърхността.	Touch the surface.
израснал	grew	Порасна много.	He grew a lot.
сто	cent	Сто цента.	One hundred cents.
смесвам	mix	Смеси съставките.	Mix the ingredients.
екип	team	Нашият екип печели.	Our team wins.
тел	wire	Електрическата жица.	The electric wire.
цена	cost	Цената е висока.	The cost is high.
загубени	lost	Загубих ключа.	I lost the key.
кафяв	brown	Кафявото куче.	The brown dog.
износване	wear	Нося нови дрехи.	I wear new clothes.
градина	garden	Градината е красива.	The garden is beautiful.
равен	equal	Равни възможности.	Equal opportunities.
изпрати	sent	Изпратих съобщение.	I sent a message.
избирам	choose	Избирам ябълка.	I choose an apple.
падна	fell	Листото падна.	The leaf fell.
поберат	fit	Пасва ми перфектно.	It fits me perfectly.
дебит	flow	Водата тече.	The water flows.
справедлив	fair	Справедливо решение.	A fair decision.
банка	bank	Банката е затворена.	The bank is closed.
събира	collect	Събирам марки.	I collect stamps.
запишете	save	Спаси документа.	Save the document.
контрол	control	Контролирай скоростта.	Control the speed.
десетични	decimal	Десетична дроб.	A decimal fraction.
ухото	ear	Ухото ме боли.	My ear hurts.
другаде	else	Някъде другаде.	Somewhere else.
съвсем	quite	Съвсем доволен.	Quite satisfied.
проби	broke	Счупих чашата.	I broke the glass.
случай	case	В този случай.	In this case.
средна	middle	Средната стойност.	The middle value.
убие	kill	Времето убива.	Time kills.
син	son	Синът ми учи.	My son studies.
езеро	lake	Езерото е дълбоко.	The lake is deep.
момент	moment	В този момент.	At this moment.
мащаб	scale	Мащабът на картата.	The scale of the map.
силен	loud	Силен звук.	A loud sound.
пролетта	spring	Пролетта идва.	Spring comes.
спазвайте	observe	Наблюдавай звездите.	Observe the stars.
дете	child	Детето играе.	The child plays.
направо	straight	Върви право.	Go straight.
съгласна	consonant	Съгласна буква.	A consonant letter.
нация	nation	Голяма нация.	A great nation.
речник	dictionary	Използвай речника.	Use the dictionary.
мляко	milk	Пия мляко сутрин.	I drink milk in the morning.
скорост	speed	Скоростта е голяма.	The speed is high.
метод	method	Новият метод работи.	The new method works.
органна	organ	Органната музика.	Organ music.
заплати	pay	Плати сметката.	Pay the bill.
възраст	age	На каква възраст си?	What age are you?
раздел	section	Този раздел е важен.	This section is important.
рокля	dress	Красивата рокля.	The beautiful dress.
облак	cloud	Облакът е бял.	The cloud is white.
изненада	surprise	Приятна изненада.	A pleasant surprise.
тих	quiet	Тихо място.	A quiet place.
камък	stone	Камъкът е твърд.	The stone is hard.
мъничък	tiny	Мъничко котенце.	A tiny kitten.
изкачване	climb	Катери се на дървото.	Climb the tree.
готино	cool	Готинско място.	A cool place.
дизайн	design	Дизайнът е модерен.	The design is modern.
лошо	poor	Беден човек.	A poor person.
много	lot	Много работа.	A lot of work.
експеримент	experiment	Научният експеримент.	The scientific experiment.
дъно	bottom	На дъното на морето.	At the bottom of the sea.
ключ	key	Ключът от къщата.	The key to the house.
желязо	iron	Желязната ограда.	The iron fence.
единичен	single	Единствен шанс.	A single chance.
стик	stick	Дървената пръчка.	The wooden stick.
плосък	flat	Плоската повърхност.	The flat surface.
двадесет	twenty	Двадесет години.	Twenty years.
кожата	skin	Кожата е мека.	The skin is soft.
усмивка	smile	Красива усмивка.	A beautiful smile.
гънки	crease	Гънка на дрехата.	A crease in the clothing.
дупка	hole	Дупка в стената.	A hole in the wall.
скочи	jump	Скочи високо.	Jump high.
бебе	baby	Бебето спи.	The baby sleeps.
осем	eight	Осем часа работа.	Eight hours of work.
село	village	Малкото село.	The small village.
Запознайте	meet	Запознай се с приятели.	Meet friends.
корен	root	Корена на дървото.	The root of the tree.
Купува	buy	Купувам хляб.	I buy bread.
повишаване на	raise	Повиши ръката си.	Raise your hand.
решаване	solve	Реши проблема.	Solve the problem.
метал	metal	Металната кутия.	The metal box.
дали	whether	Дали ще дойдеш?	Whether you'll come?
тласък	push	Бутни вратата.	Push the door.
седем	seven	Седем дни.	Seven days.
параграф	paragraph	Прочети параграфа.	Read the paragraph.
трети	third	Третия етаж.	The third floor.
трябва	shall	Ще направя това.	I shall do this.
задържано	held	Държах книгата.	I held the book.
коса	hair	Косата е дълга.	The hair is long.
опише	describe	Опиши картината.	Describe the picture.
готвач	cook	Готвача прави вечеря.	The cook makes dinner.
етаж	floor	Вторият етаж.	The second floor.
или	either	Или това, или онова.	Either this or that.
резултат	result	Резултатът е добър.	The result is good.
горят	burn	Дървата горят.	The wood burns.
хълм	hill	Върху хълма.	On the hill.
безопасно	safe	Безопасно място.	A safe place.
котка	cat	Котката мяука.	The cat meows.
век	century	Двадесет и първия век.	The twenty-first century.
помисли	consider	Помисли за предложението.	Consider the proposal.
тип	type	Какъв тип музика?	What type of music?
закон	law	Законът е строг.	The law is strict.
малко	bit	Малко захар.	A bit of sugar.
крайбрежие	coast	Крайбрежието е красиво.	The coast is beautiful.
копие	copy	Направи копие.	Make a copy.
фрази	phrase	Популярна фраза.	A popular phrase.
мълчалив	silent	Мълчалива нощ.	A silent night.
висок	tall	Високо дърво.	A tall tree.
пясък	sand	Пясъкът е топъл.	The sand is warm.
почвата	soil	Плодородната почва.	The fertile soil.
ролка	roll	Ролка тоалетна хартия.	A roll of toilet paper.
температура	temperature	Високата температура.	The high temperature.
пръста	finger	Пръстът ме боли.	My finger hurts.
промишленост	industry	Автомобилната промишленост.	The automotive industry.
стойност	value	Стойността на къщата.	The value of the house.
борба	fight	Борбата продължава.	The fight continues.
лъжа	lie	Не казвай лъжи.	Don't tell lies.
победи	beat	Победи противника.	Beat the opponent.
възбуди	excite	Възбудих се от новината.	I got excited by the news.
естествено	natural	Естествената красота.	Natural beauty.
Предвид	view	Гледката е прекрасна.	The view is wonderful.
смисъл	sense	Смисълът на живота.	The sense of life.
капитал	capital	Столицата на България.	The capital of Bulgaria.
не ще	won't	Няма да дойда.	I won't come.
стол	chair	Седя на стола.	I sit on the chair.
опасност	danger	Опасност от пожар.	Danger of fire.
плодове	fruit	Прясна плодове.	Fresh fruit.
богат	rich	Богат човек.	A rich person.
дебела	thick	Дебела книга.	A thick book.
войник	soldier	Войникът маршира.	The soldier marches.
процес	process	Процесът е сложен.	The process is complex.
работи	operate	Машината работи добре.	The machine operates well.
практика	practice	Практиката прави съвършенство.	Practice makes perfect.
отделно	separate	Отделни стаи.	Separate rooms.
трудно	difficult	Трудна задача.	A difficult task.
лекар	doctor	Лекарят прегледа пациента.	The doctor examines the patient.
моля	please	Моля, помогни ми.	Please, help me.
защитавам	protect	Защитавам семейството си.	I protect my family.
обяд	noon	На обяд ядем.	We eat at noon.
култура	crop	Земеделската култура.	The agricultural crop.
модерна	modern	Модерна технология.	Modern technology.
елемент	element	Химичен елемент.	A chemical element.
хит	hit	Удари топката.	Hit the ball.
студент	student	Студентът учи.	The student studies.
ъгъл	corner	В ъгъла на стаята.	In the corner of the room.
парти	party	Парти за рожден ден.	A birthday party.
доставка	supply	Доставката пристигна.	The supply arrived.
чиято	whose	Чиято книга е това?	Whose book is this?
намерете	locate	Намери адреса.	Locate the address.
пръстен	ring	Златен пръстен.	A gold ring.
характер	character	Добър характер.	Good character.
насекоми	insect	Насекомото лети.	The insect flies.
уловени	caught	Хванах риба.	I caught a fish.
период	period	Период на растеж.	A period of growth.
посочете	indicate	Посочи посоката.	Indicate the direction.
радио	radio	Слушам радио.	I listen to the radio.
Говорих	spoke	Говорих с него вчера.	I spoke with him yesterday.
атом	atom	Атомът е малък.	The atom is small.
човешкото	human	Човешкото тяло.	The human body.
история	history	Историята е интересна.	History is interesting.
ефект	effect	Ефектът е силен.	The effect is strong.
електрически	electric	Електрическа лампа.	An electric lamp.
очаквайте	expect	Очаквам гости.	I expect guests.
костна	bone	Костта е счупена.	The bone is broken.
железопътния	rail	Железопътната линия.	The railway line.
представете си	imagine	Представи си това.	Imagine this.
предоставят	provide	Предоставям услуги.	I provide services.
Съгласен	agree	Съгласен съм с теб.	I agree with you.
по този начин	thus	По този начин работи.	Thus it works.
нежен	gentle	Нежно докосване.	A gentle touch.
жена	woman	Жената работи.	The woman works.
капитан	captain	Капитанът командва.	The captain commands.
Предполагам, че	guess	Предполагам, че ще дойде.	I guess he will come.
необходимо	necessary	Необходимо е да работиш.	It's necessary to work.
рязък	sharp	Острия нож.	The sharp knife.
крило	wing	Крилото на птицата.	The bird's wing.
създадете	create	Създай нещо ново.	Create something new.
съсед	neighbor	Съседът е мил.	The neighbor is kind.
измиване	wash	Измий ръцете си.	Wash your hands.
прилеп	bat	Прилепът лети нощем.	The bat flies at night.
по-скоро	rather	По-скоро бих останал.	I'd rather stay.
тълпа	crowd	Голяма тълпа хора.	A big crowd of people.
царевица	corn	Царевицата расте.	The corn grows.
сравни	compare	Сравни цените.	Compare the prices.
стихотворение	poem	Красива поема.	A beautiful poem.
низ	string	Низ от перли.	A string of pearls.
звънец	bell	Звънецът звъни.	The bell rings.
зависи	depend	Зависи от времето.	It depends on the weather.
месо	meat	Месото е вкусно.	The meat is delicious.
RUB	rub	Натри с крем.	Rub with cream.
тръба	tube	Тръбата е дълга.	The tube is long.
Известният	famous	Известният актьор.	The famous actor.
долар	dollar	Един долар струва много.	One dollar costs a lot.
поток	stream	Потокът тече бързо.	The stream flows fast.
страх	fear	Страх от височини.	Fear of heights.
зрението	sight	Зрението ми е добро.	My sight is good.
тънък	thin	Тънка хартия.	Thin paper.
триъгълник	triangle	Геометричен триъгълник.	A geometric triangle.
планета	planet	Планетата Земя.	Planet Earth.
побързайте	hurry	Бързай, закъсняваме!	Hurry, we're late!
главен	chief	Главният инженер.	The chief engineer.
колония	colony	Колонията от мравки.	The colony of ants.
часовник	clock	Часовникът показва време.	The clock shows time.
мина	mine	Въглищната мина.	The coal mine.
вратовръзка	tie	Завържи вратовръзката.	Tie the necktie.
въведете	enter	Влез в стаята.	Enter the room.
основен	major	Основен проблем.	A major problem.
пресен	fresh	Пресен въздух.	Fresh air.
търсене	search	Търся новата си книга.	I search for my new book.
изпрати	send	Изпрати писмо.	Send a letter.
жълт	yellow	Жълтото цвете.	The yellow flower.
пистолет	gun	Пистолетът е опасен.	The gun is dangerous.
позволи	allow	Позволи ми да помогна.	Allow me to help.
печат	print	Отпечатай документа.	Print the document.
мъртъв	dead	Мъртвото растение.	The dead plant.
място	spot	Това е хубаво място.	This is a nice spot.
пустиня	desert	Пустинята е суха.	The desert is dry.
костюм	suit	Елегантен костюм.	An elegant suit.
ток	current	Електрическият ток.	The electric current.
повдигане	lift	Вдигни тежестта.	Lift the weight.
роза	rose	Червената роза.	The red rose.
пристигнете	arrive	Пристигнах навреме.	I arrived on time.
майстор	master	Майсторът работи добре.	The master works well.
песен	track	Музикална песен.	A music track.
родител	parent	Родителят обича детето.	The parent loves the child.
брега	shore	Брегът на морето.	The shore of the sea.
разделение	division	Разделение на труда.	Division of labor.
лист	sheet	Лист хартия.	A sheet of paper.
вещество	substance	Химично вещество.	A chemical substance.
благоприятства	favor	В полза на всички.	In favor of everyone.
свържете	connect	Свържи кабелите.	Connect the cables.
Мнение	post	Публикувай мнението си.	Post your opinion.
прекарат	spend	Прекарвам време с приятели.	I spend time with friends.
акорд	chord	Музикален акорд.	A musical chord.
мазнини	fat	Мазнините са вредни.	Fats are harmful.
Радвам	glad	Радвам се да те видя.	I'm glad to see you.
първоначалното	original	Оригиналната идея.	The original idea.
акции	share	Споделям храната.	I share the food.
станция	station	Железопътната станция.	The railway station.
Баща	dad	Татко работи.	Dad works.
хляб	bread	Прясно изпечен хляб.	Freshly baked bread.
зареждане	charge	Зареди телефона.	Charge the phone.
правилното	proper	Правилното поведение.	Proper behavior.
бар	bar	Бар за напитки.	A drinks bar.
оферта	offer	Предлагам помощ.	I offer help.
сегмент	segment	Сегмент от програмата.	A segment of the program.
роб	slave	Робът работи тежко.	The slave works hard.
патица	duck	Патицата плува.	The duck swims.
миг	instant	В един миг.	In an instant.
пазар	market	Пазарът е оживен.	The market is busy.
степен	degree	Степен от университета.	A degree from university.
пренесат	populate	Населяват града.	They populate the city.
мацка	chick	Малкото пиле.	The little chick.
Уважаеми	dear	Скъпи приятелю.	Dear friend.
враг	enemy	Врагът е близо.	The enemy is near.
отговаряте	reply	Отговори на въпроса.	Reply to the question.
питие	drink	Питие за жажда.	A drink for thirst.
възникне	occur	Възниква проблем.	A problem occurs.
подкрепа	support	Подкрепям предложението.	I support the proposal.
реч	speech	Речта беше дълга.	The speech was long.
природата	nature	Природата е красива.	Nature is beautiful.
диапазон	range	Диапазон от възможности.	A range of possibilities.
пара	steam	Парата се издига.	The steam rises.
Предложение	motion	Предложение за промяна.	A motion for change.
път	path	Пътеката през гората.	The path through the forest.
течност	liquid	Течността тече.	The liquid flows.
влезете	log	Влез в системата.	Log into the system.
означаваше	meant	Имаше предвид това.	He meant this.
коефициент	quotient	Математически коефициент.	A mathematical quotient.
зъби	teeth	Зъбите са бели.	The teeth are white.
черупка	shell	Черупката на яйцето.	The shell of the egg.
шията	neck	Шията ме боли.	My neck hurts.
кислород	oxygen	Кислородът е важен.	Oxygen is important.
захар	sugar	Захарта е сладка.	Sugar is sweet.
смърт	death	Смъртта е част от живота.	Death is part of life.
доста	pretty	Доста красива.	Pretty beautiful.
умения	skill	Уменията са важни.	Skills are important.
жените	women	Жените работят.	Women work.
сезон	season	Пролетният сезон.	The spring season.
разтвор	solution	Решение на проблема.	A solution to the problem.
магнит	magnet	Магнитът привлича.	The magnet attracts.
сребро	silver	Сребърната огърлица.	The silver necklace.
благодаря	thank	Благодаря за помощта.	Thank you for the help.
клон	branch	Клонът на дървото.	The branch of the tree.
мач	match	Футболният мач.	The football match.
наставка	suffix	Граматическа наставка.	A grammatical suffix.
особено	especially	Особено важно.	Especially important.
фиг	fig	Смокинята е сладка.	The fig is sweet.
Страхувам се	afraid	Боя се от тъмното.	I'm afraid of the dark.
огромен	huge	Огромна къща.	A huge house.
сестра	sister	Сестра ми пее.	My sister sings.
стомана	steel	Стоманената конструкция.	The steel construction.
обсъдят	discuss	Обсъждаме плановете.	We discuss the plans.
напред	forward	Върви напред.	Go forward.
Подобна	similar	Подобна ситуация.	A similar situation.
ръководят	guide	Ръководи групата.	Guide the group.
опит	experience	Опитът учи.	Experience teaches.
резултат	score	Резултатът от играта.	The score of the game.
ябълка	apple	Червената ябълка.	The red apple.
Купих	bought	Купих нова кола.	I bought a new car.
водена	led	Водих групата.	I led the group.
Стъпка	pitch	Стъпката на звука.	The pitch of sound.
палто	coat	Зимното палто.	The winter coat.
маса	mass	Голяма маса хора.	A large mass of people.
карта	card	Игрална карта.	A playing card.
лента	band	Музикална група.	A music band.
въже	rope	Дебелото въже.	The thick rope.
приплъзване	slip	Подхлъзнах се на леда.	I slipped on the ice.
победа	win	Победата е наша.	The victory is ours.
мечтая	dream	Мечтая за бъдещето.	I dream of the future.
вечер	evening	Добра вечер!	Good evening!
състояние	condition	В добро състояние.	In good condition.
фуражи	feed	Храни животните.	Feed the animals.
инструмент	tool	Работният инструмент.	The work tool.
Общият брой на	total	Общата сума.	The total amount.
основен	basic	Основни знания.	Basic knowledge.
миризма	smell	Приятна миризма.	A pleasant smell.
долина	valley	Зелената долина.	The green valley.
нито	nor	Нито това, нито онова.	Neither this nor that.
двойно	double	Двойна порция.	A double portion.
седалка	seat	Удобната седалка.	The comfortable seat.
продължи	continue	Продължи работата.	Continue the work.
блок	block	Жилищен блок.	A residential block.
диаграма	chart	Диаграмата показва данни.	The chart shows data.
шапка	hat	Зимната шапка.	The winter hat.
продават	sell	Продавам книги.	I sell books.
успех	success	Успехът изисква работа.	Success requires work.
компанията	company	Компанията расте.	The company grows.
изважда	subtract	Извади числото.	Subtract the number.
събитие	event	Важно събитие.	An important event.
специално	particular	Специален случай.	A particular case.
сделка	deal	Добра сделка.	A good deal.
плуване	swim	Плувам в басейна.	I swim in the pool.
Терминът	term	Терминът завършва.	The term ends.
противоположна	opposite	Противоположната посока.	The opposite direction.
жена	wife	Жената ми готви.	My wife cooks.
обувки	shoe	Новите обувки.	The new shoes.
рамото	shoulder	Рамото ме боли.	My shoulder hurts.
разпространение	spread	Разпространи новината.	Spread the news.
организира	arrange	Организирай срещата.	Arrange the meeting.
лагер	camp	Летният лагер.	The summer camp.
измислят	invent	Измисли ново решение.	Invent a new solution.
памук	cotton	Памучната тениска.	The cotton t-shirt.
Роден	born	Роден съм в София.	I was born in Sofia.
определи	determine	Определи причината.	Determine the cause.
кварта	quart	Един кварта мляко.	One quart of milk.
девет	nine	Девет котки.	Nine cats.
камион	truck	Големият камион.	The big truck.
шум	noise	Силният шум.	The loud noise.
ниво	level	Високо ниво.	High level.
шанс	chance	Добър шанс за успех.	A good chance for success.
събират	gather	Събираме се в парка.	We gather in the park.
магазин	shop	Магазинът за дрехи.	The clothing shop.
участък	stretch	Участък от пътя.	A stretch of road.
хвърлят	throw	Хвърли топката.	Throw the ball.
блясък	shine	Блясъкът на слънцето.	The shine of the sun.
имот	property	Частната собственост.	Private property.
колона	column	Колоната от числа.	The column of numbers.
молекула	molecule	Молекулата е малка.	The molecule is small.
изберете	select	Избери най-доброто.	Select the best.
Грешна	wrong	Грешният отговор.	The wrong answer.
сив	gray	Сивото небе.	The gray sky.
повторете	repeat	Повтори урока.	Repeat the lesson.
изисква	require	Изисква внимание.	It requires attention.
широк	broad	Широката алея.	The broad avenue.
подготви	prepare	Подготви се за изпита.	Prepare for the exam.
сол	salt	Морската сол.	Sea salt.
носа	nose	Носът ми тече.	My nose is running.
множествено число	plural	Множественото число.	The plural form.
гнева	anger	Гневът е вреден.	Anger is harmful.
твърдение	claim	Твърдението е вярно.	The claim is true.
континент	continent	Европейският континент.	The European continent.
